agency_ori,agency_incident_id,location_address,location_address_adjusted,latlng_method,geocoded_location_interpreted,geocoded_location_type,geocoding_imprecise,lat,lng,tract_2010,tract_state_2010,tract_2000,tract_state_2000
MDBPD0000,17V0336,405 N PACA ST,"405 N PACA ST, Baltimore, Maryland, USA",geocoded,"405 N Paca St, Baltimore, MD 21201, USA",street_address,False,39.294167,-76.62245879999998,24510040100.0,MD,24510040100.0,MD
MDBPD0000,17V0337,3100 BOSTON ST,"3100 BOSTON ST, Baltimore, Maryland, USA",geocoded,"3100 Boston St, Baltimore, MD 21224, USA",premise,False,39.2777398,-76.5716705,24510010100.0,MD,24510010100.0,MD
MDBPD0000,17V0339,500 W HOFFMAN ST,"500 W HOFFMAN ST, Baltimore, Maryland, USA",geocoded,"500 W Hoffman St, Baltimore, MD 21201, USA",street_address,False,39.299138899999996,-76.6280171,24510170200.0,MD,24510170200.0,MD
MDBPD0000,17V0335,2100 HOLLINS ST,"2100 HOLLINS ST, Baltimore, Maryland, USA",geocoded,"2100 Hollins St, Baltimore, MD 21223, USA",premise,False,39.2871662,-76.6501717,24510200400.0,MD,24510200400.0,MD
MDBPD0000,17V0333,6700 GRACELAND AV,"6700 GRACELAND AV, Baltimore, Maryland, USA",geocoded,"6700 Graceland Ave, Baltimore, MD 21224, USA",premise,False,39.2828412,-76.53238890000002,24510260605.0,MD,24510260605.0,MD
MDBPD0000,17V0332,2400 DORTON CT,"2400 DORTON CT, Baltimore, Maryland, USA",geocoded,"2400 Dorton Ct, Baltimore, MD 21230, USA",street_address,False,39.2611333,-76.6411208,24510250301.0,MD,24510250301.0,MD
MDBPD0000,17V0334,2000 N BENTALOU ST,"2000 N BENTALOU ST, Baltimore, Maryland, USA",geocoded,"2000 N Bentalou St, Baltimore, MD 21216, USA",premise,False,39.310725500000004,-76.65439040000003,24510150400.0,MD,24510150400.0,MD
MDBPD0000,17V0330,4200 NICHOLAS AV,"4200 NICHOLAS AV, Baltimore, Maryland, USA",geocoded,"4200 Nicholas Ave, Baltimore, MD 21206, USA",street_address,False,39.329215500000004,-76.56409509999997,24510260202.0,MD,24510260202.0,MD
MDBPD0000,17V0331,1000 W LAFAYETTE AV,"1000 W LAFAYETTE AV, Baltimore, Maryland, USA",geocoded,"1000 W Lafayette Ave, Baltimore, MD 21217, USA",premise,False,39.2993396,-76.63480140000001,24510160100.0,MD,24510160100.0,MD
MDBPD0000,17V0329,2557 ROBB ST,"2557 ROBB ST, Baltimore, Maryland, USA",geocoded,"2557 Robb St, Baltimore, MD 21218, USA",street_address,False,39.319006,-76.59729200000002,24510090700.0,MD,24510090700.0,MD
MDBPD0000,17H0187,501 N FREMONT AV,"501 N FREMONT AV, Baltimore, Maryland, USA",geocoded,"501 N Fremont Ave, Baltimore, MD 21201, USA",premise,False,39.29490699999999,-76.631969,24510170300.0,MD,24510170300.0,MD
MDBPD0000,17H0186,3300 W BALTIMORE ST,"3300 W BALTIMORE ST, Baltimore, Maryland, USA",geocoded,"3300 W Baltimore St, Baltimore, MD 21229, USA",street_address,False,39.28601629999999,-76.67256569999998,24510200701.0,MD,24510200702.0,MD
MDBPD0000,17V0327,4800 GREENCREST RD,"4800 GREENCREST RD, Baltimore, Maryland, USA",geocoded,"4800 Greencrest Rd, Baltimore, MD 21206, USA",premise,False,39.321813899999995,-76.5387866,24510260402.0,MD,24510260402.0,MD
MDBPD0000,17V0325,600 CHERRY HILL RD,"600 CHERRY HILL RD, Baltimore, Maryland, USA",geocoded,"600 Cherry Hill Rd, Baltimore, MD 21225, USA",street_address,False,39.25042699999999,-76.62228640000002,24510250207.0,MD,24510250207.0,MD
MDBPD0000,17V0324,2700 EDMONDSON AV,"2700 EDMONDSON AV, Baltimore, Maryland, USA",geocoded,"2700 Edmondson Ave, Baltimore, MD 21223, USA",street_address,False,39.294787899999996,-76.66154399999998,24510160600.0,MD,24510160600.0,MD
MDBPD0000,17V0326,22 S GREENE ST,"22 S GREENE ST, Baltimore, Maryland, USA",geocoded,"22 S Greene St, Baltimore, MD 21201, USA",premise,False,39.2880132,-76.6248449,24510040200.0,MD,24510040200.0,MD
MDBPD0000,17V0328,1500 KENSETT ST,"1500 KENSETT ST, Baltimore, Maryland, USA",geocoded,"1500 Kensett St, Baltimore, MD 21217, USA",street_address,False,39.3135667,-76.64298629999998,24510130300.0,MD,24510130300.0,MD
MDBPD0000,17V0322,4600 HARFORD RD,"4600 HARFORD RD, Baltimore, Maryland, USA",geocoded,"4600 Harford Rd, Baltimore, MD 21214, USA",premise,False,39.34237110000001,-76.57032389999998,24510270200.0,MD,24510270200.0,MD
MDBPD0000,17V0323,3600 ELMORA AV,"3600 ELMORA AV, Baltimore, Maryland, USA",geocoded,"3600 Elmora Ave, Baltimore, MD 21213, USA",street_address,False,39.316074,-76.56840799999998,24510260302.0,MD,24510260302.0,MD
MDBPD0000,17V0321,2800 WENBURN ST,"2800 WENBURN ST, Baltimore, Maryland, USA",geocoded,"2800 Wenburn St, Baltimore, MD 21230, USA",street_address,False,39.2637554,-76.6335184,24510250301.0,MD,24510250301.0,MD
MDBPD0000,17H0184,100 REEDBIRD AV,"100 REEDBIRD AV, Baltimore, Maryland, USA",geocoded,"100 Reedbird Ave, Baltimore, MD 21225, USA",street_address,False,39.24946970000001,-76.6149006,24510250203.0,MD,24510250203.0,MD
MDBPD0000,17V0315,2600 W NORTH AV,"2600 W NORTH AV, Baltimore, Maryland, USA",geocoded,"2600 W North Ave, Baltimore, MD 21216, USA",street_address,False,39.3093843,-76.65999620000002,24510150600.0,MD,24510150600.0,MD
MDBPD0000,17V0320,1300 S PONCA ST,"1300 S PONCA ST, Baltimore, Maryland, USA",geocoded,"1300 Ponca St, Baltimore, MD 21224, USA",street_address,False,39.27778319999999,-76.55469310000002,24510260605.0,MD,24510260605.0,MD
MDBPD0000,17V0317,2300 WINDSOR AV,"2300 WINDSOR AV, Baltimore, Maryland, USA",geocoded,"2300 Windsor Ave, Baltimore, MD 21216, USA",street_address,False,39.3126034,-76.65428229999998,24510150400.0,MD,24510150400.0,MD
MDBPD0000,17V0318,1000 W LANVALE ST,"1000 W LANVALE ST, Baltimore, Maryland, USA",geocoded,"1000 W Lanvale St, Baltimore, MD 21217, USA",street_address,False,39.29804439999999,-76.633892,24510160100.0,MD,24510170300.0,MD
MDBPD0000,17V0316,3500 GARRISON BLVD,"3500 GARRISON BLVD, Baltimore, Maryland, USA",geocoded,"3500 Garrison Blvd, Baltimore, MD 21215, USA",street_address,False,39.3293883,-76.6823945,24510151000.0,MD,24510151000.0,MD
MDBPD0000,17V0311,2900 DENHAM CIRCLE SOUTH,"2900 DENHAM CIRCLE SOUTH, Baltimore, Maryland, USA",geocoded,"2900 Denham Cir S, Baltimore, MD 21225, USA",street_address,False,39.2447186,-76.6268709,24510250204.0,MD,24510250204.0,MD
MDBPD0000,17V0313,1800 N PORT ST,"1800 N PORT ST, Baltimore, Maryland, USA",geocoded,"1800 N Port St, Baltimore, MD 21213, USA",premise,False,39.311435499999995,-76.5839617,24510080200.0,MD,24510080200.0,MD
MDBPD0000,17H0183,1700 PRESSTMAN ST,"1700 PRESSTMAN ST, Baltimore, Maryland, USA",geocoded,"1700 Presstman St, Baltimore, MD 21217, USA",premise,False,39.3054976,-76.64489240000002,24510150200.0,MD,24510150100.0,MD
MDBPD0000,17V0314,1800 ORLEANS ST,"1800 ORLEANS ST, Baltimore, Maryland, USA",geocoded,"1800 Orleans St, Baltimore, MD 21287, USA",street_address,False,39.29625720000001,-76.5917676,24510060400.0,MD,24510060400.0,MD
MDBPD0000,17V0312,500 W FRANKLIN ST,"500 W FRANKLIN ST, Baltimore, Maryland, USA",geocoded,"500 W Franklin St, Baltimore, MD 21201, USA",street_address,False,39.2949333,-76.62278119999998,24510170100.0,MD,24510170100.0,MD
MDBPD0000,17V0309,1200 N MILTON AV,"1200 N MILTON AV, Baltimore, Maryland, USA",geocoded,"1200 N Milton Ave, Baltimore, MD 21213, USA",premise,False,39.3050808,-76.5829234,24510080301.0,MD,24510080301.0,MD
MDBPD0000,17V0310,22 S GREENE ST,"22 S GREENE ST, Baltimore, Maryland, USA",geocoded,"22 S Greene St, Baltimore, MD 21201, USA",premise,False,39.2880132,-76.6248449,24510040200.0,MD,24510040200.0,MD
MDBPD0000,17V0308,2300 POPLAR GROVE ST,"2300 POPLAR GROVE ST, Baltimore, Maryland, USA",geocoded,"2300 Poplar Grove St, Baltimore, MD 21216, USA",premise,False,39.3135413,-76.666279,24510150702.0,MD,24510150702.0,MD
MDBPD0000,17V0307,3900 W MULBERRY ST,"3900 W MULBERRY ST, Baltimore, Maryland, USA",geocoded,"3900 W Mulberry St, Baltimore, MD 21229, USA",street_address,False,39.291713200000004,-76.68058359999998,24510200701.0,MD,24510200701.0,MD
MDBPD0000,17V0305,2400 WASHINGTON BLVD,"2400 WASHINGTON BLVD, Baltimore, Maryland, USA",geocoded,"2400 Washington Blvd, Baltimore, MD 21230, USA",street_address,False,39.268390600000004,-76.6505528,24510250303.0,MD,24510250303.0,MD
MDBPD0000,17V0303,1626 N SMALLWOOD ST,"1626 N SMALLWOOD ST, Baltimore, Maryland, USA",geocoded,"1626 N Smallwood St, Baltimore, MD 21216, USA",premise,False,39.307033600000004,-76.6527887,24510150300.0,MD,24510150300.0,MD
MDBPD0000,17V0304,1400 OLIVE ST,"1400 OLIVE ST, Baltimore, Maryland, USA",geocoded,"1400 Olive St, Baltimore, MD 21230, USA",street_address,False,39.27365020000001,-76.61474369999998,24510230100.0,MD,24510230100.0,MD
MDBPD0000,17V0302,1100 DRUID HILL AV,"1100 DRUID HILL AV, Baltimore, Maryland, USA",geocoded,"1100 Druid Hill Ave, Baltimore, MD 21201, USA",street_address,False,39.3004012,-76.62656919999998,24510170200.0,MD,24510170200.0,MD
MDBPD0000,17V0301,1800 N MOUNT ST,"1800 N MOUNT ST, Baltimore, Maryland, USA",geocoded,"1800 N Mount St, Baltimore, MD 21217, USA",street_address,False,39.308996,-76.645195,24510150200.0,MD,24510150100.0,MD
MDBPD0000,17V0298,1700 PENNSYLVANIA AV,"1700 PENNSYLVANIA AV, Baltimore, Maryland, USA",geocoded,"1700 Pennsylvania Ave, Baltimore, MD 21217, USA",premise,False,39.3036526,-76.63563049999998,24510140200.0,MD,24510140200.0,MD
MDBPD0000,17V0299,900 AISQUITH ST,"900 AISQUITH ST, Baltimore, Maryland, USA",geocoded,"900 Aisquith St, Baltimore, MD 21202, USA",street_address,False,39.3002097,-76.60197109999999,24510100200.0,MD,24510100200.0,MD
MDBPD0000,17V0300,4000 ELKADER RD,"4000 ELKADER RD, Baltimore, Maryland, USA",geocoded,"4000 Elkader Rd, Baltimore, MD 21218, USA",premise,False,39.3386253,-76.60332729999998,24510090100.0,MD,24510090100.0,MD
MDBPD0000,17V0293,3200 SPAULDING AV,"3200 SPAULDING AV, Baltimore, Maryland, USA",geocoded,"3200 Spaulding Ave, Baltimore, MD 21215, USA",street_address,False,39.34815520000001,-76.67513579999998,24510271802.0,MD,24510271802.0,MD
MDBPD0000,17V0292,1600 ELMTREE ST,"1600 ELMTREE ST, Baltimore, Maryland, USA",geocoded,"1600 Elmtree St, Baltimore, MD 21226, USA",street_address,False,39.224556,-76.5884652,24510250500.0,MD,24510250500.0,MD
MDBPD0000,17V0295,3400 W CATON AV,"3400 W CATON AV, Baltimore, Maryland, USA",geocoded,"3400 W Caton Ave, Baltimore, MD 21229, USA",street_address,False,39.286313,-76.673315,24510200701.0,MD,24510200701.0,MD
MDBPD0000,17V0294,4000 MASSACHUSETTS AV,"4000 MASSACHUSETTS AV, Baltimore, Maryland, USA",geocoded,"4000 Massachusetts Ave, Baltimore, MD 21229, USA",street_address,False,39.28369000000001,-76.6825439,24510200800.0,MD,24510200800.0,MD
MDBPD0000,17H0177,1600 RUXTON AV,"1600 RUXTON AV, Baltimore, Maryland, USA",geocoded,"1600 Ruxton Ave, Baltimore, MD 21216, USA",premise,False,39.30645,-76.65513490000002,24510150300.0,MD,24510150300.0,MD
MDBPD0000,17H0178,2616 ROSELAWN AV,"2616 ROSELAWN AV, Baltimore, Maryland, USA",geocoded,"2616 Roselawn Ave, Baltimore, MD 21214, USA",premise,False,39.3584718,-76.56269689999998,24510270600.0,MD,24510270600.0,MD
MDBPD0000,17V0289,5511 BOWLEYS LA,"5511 BOWLEYS LA, Baltimore, Maryland, USA",geocoded,"5511 Bowleys Ln, Baltimore, MD 21206, USA",street_address,False,39.3185167,-76.5521936,24510260203.0,MD,24510260203.0,MD
MDBPD0000,17V0288,4200 THAYER CT,"4200 THAYER CT, Baltimore, Maryland, USA",geocoded,"4200 Thayer Ct, Baltimore, MD 21225, USA",street_address,False,39.2277019,-76.59958639999998,24510250402.0,MD,24510250402.0,MD
MDBPD0000,17V0286,400 E PRESTON ST,"400 E PRESTON ST, Baltimore, Maryland, USA",geocoded,"400 E Preston St, Baltimore, MD 21202, USA",street_address,False,39.3051628,-76.6103328,24510120500.0,MD,24510120500.0,MD
MDBPD0000,17V0285,2600 QUANTICO AV,"2600 QUANTICO AV, Baltimore, Maryland, USA",geocoded,"2600 Quantico Ave, Baltimore, MD 21215, USA",premise,False,39.3381298,-76.66126379999999,24510151300.0,MD,24510151300.0,MD
MDBPD0000,17V0282,800 GRETNA CT,"800 GRETNA CT, Baltimore, Maryland, USA",geocoded,"800 Gretna Ct, Baltimore, MD 21225, USA",street_address,False,39.2305263,-76.60114240000001,24510250402.0,MD,24510250402.0,MD
MDBPD0000,17V0284,200 N BOND ST,"200 N BOND ST, Baltimore, Maryland, USA",geocoded,"200 N Bond St, Baltimore, MD 21231, USA",street_address,False,39.29387240000001,-76.59597690000003,24510280500.0,MD,24510060500.0,MD
MDBPD0000,17V0283,700 N ROSE ST,"700 N ROSE ST, Baltimore, Maryland, USA",geocoded,"700 N Rose St, Baltimore, MD 21205, USA",street_address,False,39.299177500000006,-76.58178319999998,24510070200.0,MD,24510070200.0,MD
MDBPD0000,17V0281,901 E PATAPSCO AV,"901 E PATAPSCO AV, Baltimore, Maryland, USA",geocoded,"901 E Patapsco Ave, Baltimore, MD 21225, USA",street_address,False,39.234621999999995,-76.597747,24510250402.0,MD,24510250402.0,MD
MDBPD0000,17V0279,1700 HOLLINS ST,"1700 HOLLINS ST, Baltimore, Maryland, USA",geocoded,"1700 Hollins St, Baltimore, MD 21223, USA",premise,False,39.287482000000004,-76.64390970000002,24510190300.0,MD,24510190300.0,MD
MDBPD0000,17V0277,1500 MYRTLE AV,"1500 MYRTLE AV, Baltimore, Maryland, USA",geocoded,"1500 Myrtle Ave, Baltimore, MD 21217, USA",street_address,False,39.3006058,-76.63480059999998,24510140200.0,MD,24510140200.0,MD
MDBPD0000,17V0278,22 S GREENE ST,"22 S GREENE ST, Baltimore, Maryland, USA",geocoded,"22 S Greene St, Baltimore, MD 21201, USA",premise,False,39.2880132,-76.6248449,24510040200.0,MD,24510040200.0,MD
MDBPD0000,17V0280,3400 GARRISON BLVD,"3400 GARRISON BLVD, Baltimore, Maryland, USA",geocoded,"3400 Garrison Blvd, Baltimore, MD 21215, USA",premise,False,39.3277906,-76.68291409999998,24510151000.0,MD,24510151000.0,MD
MDBPD0000,17V0275,2300 WASHINGTON BLVD,"2300 WASHINGTON BLVD, Baltimore, Maryland, USA",geocoded,"2300 Washington Blvd, Baltimore, MD 21230, USA",premise,False,39.2695547,-76.6494385,24510250303.0,MD,24510250303.0,MD
MDBPD0000,17V0274,1900 W LANVALE ST,"1900 W LANVALE ST, Baltimore, Maryland, USA",geocoded,"1900 W Lanvale St, Baltimore, MD 21217, USA",street_address,False,39.297752,-76.647594,24510160400.0,MD,24510160400.0,MD
MDBPD0000,17V0272,800 SPEDDEN ST,"800 SPEDDEN ST, Baltimore, Maryland, USA",geocoded,"800 Spedden St, Baltimore, MD 21216, USA",street_address,False,39.2970885,-76.6524278,24510160500.0,MD,24510160500.0,MD
MDBPD0000,17V0273,1000 VINE ST,"1000 VINE ST, Baltimore, Maryland, USA",geocoded,"1000 Vine St, Baltimore, MD 21223, USA",street_address,False,39.290422899999996,-76.6343028,24510180200.0,MD,24510180200.0,MD
MDBPD0000,17V0269,1900 E LAFAYETTE AV,"1900 E LAFAYETTE AV, Baltimore, Maryland, USA",geocoded,"1900 E Lafayette Ave, Baltimore, MD 21213, USA",street_address,False,39.3109608,-76.59149049999998,24510080600.0,MD,24510080600.0,MD
MDBPD0000,17V0271,1400 BARNES ST,"1400 BARNES ST, Baltimore, Maryland, USA",geocoded,"1400 Barnes St, Baltimore, MD 21205, USA",street_address,False,39.3012344,-76.59779019999998,24510070400.0,MD,24510100200.0,MD
MDBPD0000,17V0270,900 E PATAPSCO AV,"900 E PATAPSCO AV, Baltimore, Maryland, USA",geocoded,"900 E Patapsco Ave, Baltimore, MD 21225, USA",premise,False,39.23513610000001,-76.5971546,24510250500.0,MD,24510250500.0,MD
MDBPD0000,17V0266,800 S CAREY ST,"800 S CAREY ST, Baltimore, Maryland, USA",geocoded,"800 S Carey St, Baltimore, MD 21223, USA",street_address,False,39.2822744,-76.63753559999998,24510210200.0,MD,24510210200.0,MD
MDBPD0000,17V0268,600 CUMBERLAND ST,"600 CUMBERLAND ST, Baltimore, Maryland, USA",geocoded,"600 Cumberland St, Baltimore, MD 21217, USA",street_address,False,39.3092994,-76.64175859999997,24510150100.0,MD,24510140300.0,MD
MDBPD0000,17V0265,3700 4TH ST,"3700 4TH ST, Baltimore, Maryland, USA",geocoded,"3700 4th St, Baltimore, MD 21225, USA",premise,False,39.236063200000004,-76.60629509999998,24510250401.0,MD,24510250401.0,MD
MDBPD0000,17V0267,2900 SPELMAN RD,"2900 SPELMAN RD, Baltimore, Maryland, USA",geocoded,"2900 Spelman Rd, Baltimore, MD 21225, USA",street_address,False,39.2448837,-76.62757189999998,24510250204.0,MD,24510250204.0,MD
MDBPD0000,17V0263,500 SHERIDAN AV,"500 SHERIDAN AV, Baltimore, Maryland, USA",geocoded,"500 Sheridan Ave, Baltimore, MD 21212, USA",premise,False,39.3548039,-76.6096488,24510271002.0,MD,24510271002.0,MD
MDBPD0000,17V0260,2100 JUBILEE CT,"2100 JUBILEE CT, Baltimore, Maryland, USA",geocoded,"2100 Jubilee Ct, Baltimore, MD 21214, USA",street_address,False,39.367681899999994,-76.57036219999998,24510270702.0,MD,24510270702.0,MD
MDBPD0000,17V0262,900 AISQUITH ST,"900 AISQUITH ST, Baltimore, Maryland, USA",geocoded,"900 Aisquith St, Baltimore, MD 21202, USA",street_address,False,39.3002097,-76.60197109999999,24510100200.0,MD,24510100200.0,MD
MDBPD0000,17V0261,2000 HOLLINS FERRY RD,"2000 HOLLINS FERRY RD, Baltimore, Maryland, USA",geocoded,"2000 Hollins Ferry Rd, Baltimore, MD 21230, USA",premise,False,39.26862910000001,-76.6468778,24510250303.0,MD,24510250303.0,MD
MDBPD0000,17V0258,3200 LYNDALE AV,"3200 LYNDALE AV, Baltimore, Maryland, USA",geocoded,"3200 Lyndale Ave, Baltimore, MD 21213, USA",street_address,False,39.31661,-76.578385,24510080102.0,MD,24510080102.0,MD
MDBPD0000,17V0259,2500 SOUTHDENE AV,"2500 SOUTHDENE AV, Baltimore, Maryland, USA",geocoded,"2500 Southdene Ave, Baltimore, MD 21230, USA",street_address,False,39.254553,-76.649834,24510250205.0,MD,24510250205.0,MD
MDBPD0000,17V0257,4000 OLD YORK RD,"4000 OLD YORK RD, Baltimore, Maryland, USA",geocoded,"4000 Old York Rd, Baltimore, MD 21218, USA",street_address,False,39.338196,-76.60807299999998,24510090100.0,MD,24510090100.0,MD
MDBPD0000,17V0255,1600 LAURENS ST,"1600 LAURENS ST, Baltimore, Maryland, USA",geocoded,"1600 Laurens St, Baltimore, MD 21217, USA",street_address,False,39.303363,-76.64372270000001,24510150100.0,MD,24510150100.0,MD
MDBPD0000,17V0254,1300 W FAYETTE ST,"1300 W FAYETTE ST, Baltimore, Maryland, USA",geocoded,"1300 W Fayette St, Baltimore, MD 21223, USA",street_address,False,39.2897683,-76.63822370000003,24510180200.0,MD,24510190100.0,MD
MDBPD0000,17V0253,1500 GOUGH ST,"1500 GOUGH ST, Baltimore, Maryland, USA",geocoded,"1500 Gough St, Baltimore, MD 21231, USA",street_address,False,39.287477,-76.596907,24510030100.0,MD,24510030100.0,MD
MDBPD0000,17V0252,3300 AYRDALE AV,"3300 AYRDALE AV, Baltimore, Maryland, USA",geocoded,"3300 Ayrdale Ave, Baltimore, MD 21216, USA",premise,False,39.3262899,-76.6816511,24510151000.0,MD,24510151000.0,MD
MDBPD0000,17H0155,1200 BONAPARTE AV,"1200 BONAPARTE AV, Baltimore, Maryland, USA",geocoded,"1200 Bonaparte Ave, Baltimore, MD 21218, USA",premise,False,39.315517299999996,-76.5998065,24510090800.0,MD,24510090800.0,MD
MDBPD0000,17V0247,1724 E 29TH ST,"1724 E 29TH ST, Baltimore, Maryland, USA",geocoded,"1724 E 29th St, Baltimore, MD 21218, USA",street_address,False,39.324831,-76.59089399999998,24510090600.0,MD,24510090600.0,MD
MDBPD0000,17V0250,5000 GWYNN OAK AV,"5000 GWYNN OAK AV, Baltimore, Maryland, USA",geocoded,"5000 Gwynn Oak Ave, Baltimore, MD 21207, USA",street_address,False,39.33083999999999,-76.699343,24510280200.0,MD,24510280200.0,MD
MDBPD0000,17V0249,3100 BAKER ST,"3100 BAKER ST, Baltimore, Maryland, USA",geocoded,"3100 Baker St, Baltimore, MD 21216, USA",premise,False,39.306025,-76.6692621,24510160700.0,MD,24510160700.0,MD
MDBPD0000,17V0248,1800 W MULBERRY ST,"1800 W MULBERRY ST, Baltimore, Maryland, USA",geocoded,"1800 W Mulberry St, Baltimore, MD 21223, USA",street_address,False,39.292987,-76.64550489999998,24510200100.0,MD,24510190100.0,MD
MDBPD0000,17V0246,4714 LIBERTY HEIGHTS AV,"4714 LIBERTY HEIGHTS AV, Baltimore, Maryland, USA",geocoded,"4714 Liberty Heights Ave, Baltimore, MD 21207, USA",street_address,False,39.3318275,-76.69619589999998,24510280102.0,MD,24510280102.0,MD
MDBPD0000,17V0245,1500 W FAYETTE ST,"1500 W FAYETTE ST, Baltimore, Maryland, USA",geocoded,"1500 W Fayette St, Baltimore, MD 21223, USA",premise,False,39.2898984,-76.6412035,24510190100.0,MD,24510190100.0,MD
MDBPD0000,17V0243,2100 MC CULLOH ST,"2100 MC CULLOH ST, Baltimore, Maryland, USA",geocoded,"2100 McCulloh St, Baltimore, MD 21217, USA",premise,False,39.308825399999996,-76.63583229999998,24510140300.0,MD,24510140300.0,MD
MDBPD0000,17V0244,1500 N ELLAMONT ST,"1500 N ELLAMONT ST, Baltimore, Maryland, USA",geocoded,"1500 N Ellamont St, Baltimore, MD 21216, USA",street_address,False,39.304442200000004,-76.6706542,24510160700.0,MD,24510160700.0,MD
MDBPD0000,17V0242,1400 CARROLL ST,"1400 CARROLL ST, Baltimore, Maryland, USA",geocoded,"1400 Carroll St, Baltimore, MD 21230, USA",street_address,False,39.2782411,-76.63631559999997,24510210200.0,MD,24510210200.0,MD
MDBPD0000,17V0241,1500 TRACTION ST,"1500 TRACTION ST, Baltimore, Maryland, USA",geocoded,"1500 Traction St, Baltimore, MD 21217, USA",street_address,False,39.31111569999999,-76.64256999999998,24510130300.0,MD,24510130300.0,MD
MDBPD0000,17V0239,001 W 20TH ST,"001 W 20TH ST, Baltimore, Maryland, USA",geocoded,"1 W 20th St, Baltimore, MD 21218, USA",street_address,False,39.3122234,-76.61663759999998,24510120600.0,MD,24510120600.0,MD
MDBPD0000,17V0238,1000 MOSHER ST,"1000 MOSHER ST, Baltimore, Maryland, USA",geocoded,"1000 Mosher St, Baltimore, MD 21216, USA",street_address,False,39.29946320000001,-76.66093640000003,24510160600.0,MD,24510160600.0,MD
MDBPD0000,17V0237,800 DUCATEL ST,"800 DUCATEL ST, Baltimore, Maryland, USA",geocoded,"800 Ducatel St, Baltimore, MD 21217, USA",street_address,False,39.3124178,-76.6341686,24510130200.0,MD,24510130200.0,MD
MDBPD0000,17V0240,1100 CLEVELAND ST,"1100 CLEVELAND ST, Baltimore, Maryland, USA",geocoded,"1100 Cleveland St, Baltimore, MD 21230, USA",street_address,False,39.2816424,-76.6309067,24510210200.0,MD,24510210200.0,MD
