CASE_NUMBER,CASE_DATE,CASE_ADDRESS,CASE_STATUS,DESCRIPTION,VICT_TYPE,vict_type_generic,case_vict_type_generic,weapon_inferred,name_is_vague,null_dob,age_at_case,RACE,SEX,person_uid_is_custom_match,person_uid
12V0014,2012-01-16,700 GORSUCH AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,36,BLACK,MALE,0,b5d0858aef
12V0015,2012-01-16,2500 TERRA FIRMA RD,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,68fbfc125c
12V0016,2012-01-17,001 S WOODINGTON RD,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,18,BLACK,MALE,0,2d2bcb1d40
12V0016,2012-01-17,001 S WOODINGTON RD,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,53bf1a7135
12V0017,2012-01-17,800 SEAGULL AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,39,BLACK,MALE,0,cd48f81c7d
12V0017,2012-01-17,800 SEAGULL AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,30,BLACK,FEMALE,0,5105212289
12H0007,2012-01-18,4300 CEDAR GARDEN RD,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,18,BLACK,MALE,0,2d2bcb1d40
12V0018,2012-01-19,900 WEBB CT,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,1d828e44de
12V0018,2012-01-19,900 WEBB CT,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,46,BLACK,MALE,0,c888a6689c
12H0009,2012-01-20,1617 W BALTIMORE ST,CLOSED,SUSPECT,,,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,af3a9a5581
12H0009,2012-01-20,1617 W BALTIMORE ST,CLOSED,SUSPECT,,,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,17,BLACK,MALE,0,b7ee953ff7
12H0009,2012-01-20,1617 W BALTIMORE ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,37,BLACK,MALE,0,b7c50aa2fa
12H0009,2012-01-20,1617 W BALTIMORE ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,d1f7be8726
12V0019,2012-01-22,800 GEORGE ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,35,BLACK,MALE,0,a9044a0a6c
12V0020,2012-01-24,2305 ALLENDALE RD,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,48,BLACK,MALE,0,6f042789c2
12V0021,2012-01-24,1700 HOLLINS ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,27,BLACK,MALE,0,c47907e1d1
12V0021,2012-01-24,1700 HOLLINS ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,6c1dd2edb9
12V0022,2012-01-24,900 DUCATEL ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,26,BLACK,MALE,0,25fea24e4f
12V0023,2012-01-25,2200 PELHAM AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,332e331e7e
12V0023,2012-01-25,2200 PELHAM AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,24,BLACK,MALE,0,b46bef4b1f
12V0024,2012-01-25,1900 MARYLAND AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,0,cd0fc539fe
12H0010,2012-01-27,2700 W COLD SPRING LA,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,24,BLACK,MALE,0,9fa6475554
12V0025,2012-01-28,800 N CURLEY ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,27,BLACK,MALE,0,f662cca410
12V0026,2012-01-28,5925 RADECKE AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,64ca6f25b3
12V0026,2012-01-28,5925 RADECKE AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,24,BLACK,MALE,0,c7e09189bf
12V0027,2012-01-28,2700 RIGGS AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,22,BLACK,MALE,0,c5256884de
12H0011,2012-01-29,200 S LOUDON AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,22,BLACK,MALE,0,6b672f6d74
12H0011,2012-01-29,200 S LOUDON AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,20,BLACK,MALE,0,faa09137bf
12H0011,2012-01-29,200 S LOUDON AV,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,19,BLACK,MALE,0,29f1906f0d
12V0028,2012-01-29,4700 ALHAMBRA AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,cf29f72e13
12V0028,2012-01-29,4700 ALHAMBRA AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,31,BLACK,FEMALE,0,db71f5f95d
12V0028,2012-01-29,4700 ALHAMBRA AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,ff05274c36
12V0030,2012-01-29,1000 REVERDY RD,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,26,BLACK,MALE,0,e8a933ecc7
12H0013,2012-02-01,4333 GREENHILL AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,43,BLACK,MALE,0,e6f491d11d
12H0013,2012-02-01,4333 GREENHILL AV,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,25,BLACK,MALE,0,3d5a11c609
12H0014,2012-02-01,5700 NASCO PL,CLOSED,SUSPECT,,,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,45beff149e
12H0014,2012-02-01,5700 NASCO PL,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,31,BLACK,MALE,0,097959e83c
12H0014,2012-02-01,5700 NASCO PL,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,HOMICIDE + NON FATAL SHOOTING,Firearm,0,0,31,BLACK,MALE,0,83d04eecd6
12V0032,2012-02-01,500 N MONTFORD AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,27,BLACK,MALE,0,b23cfb8ac8
12V0033,2012-02-01,2800 PRESBURY ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,09ae811cbf
12V0033,2012-02-01,2800 PRESBURY ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,7d45c99e62
12V0033,2012-02-01,2800 PRESBURY ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,fb3472299f
12V0034,2012-02-01,3900 INNER CIR,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,28,BLACK,MALE,0,c9ccd322c1
12V0034,2012-02-01,3900 INNER CIR,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,40,BLACK,MALE,0,246d4aabaa
12V0036,2012-02-03,3400 DUDLEY AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,b5d8fa8bac
12H0015,2012-02-06,900 E PRESTON ST,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,28,BLACK,MALE,0,cfaf73056a
12V0038,2012-02-06,800 DUMBARTON AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,54efe20656
12H0016,2012-02-09,2900 HAVERFORD RD,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,62,BLACK,MALE,0,474f857536
12V0039,2012-02-11,700 N STREEPER ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,525a98497e
12H0017,2012-02-12,5901 LACLEDE RD,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,31,BLACK,MALE,0,0a62e3a227
12H0017,2012-02-12,5901 LACLEDE RD,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,27,BLACK,MALE,0,267ec5cd39
12V0040,2012-02-12,700 MURA ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,1,68045e9bb3
12V0040,2012-02-12,700 MURA ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,20a2b9f7a8
12V0041,2012-02-12,1400 DARLEY AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,a992ba1783
12V0041,2012-02-12,1400 DARLEY AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,3c8d1f159b
12H0018,2012-02-13,2813 GREENMOUNT AV,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,22,BLACK,MALE,0,5b475826c3
12V0042,2012-02-15,3900 MORTIMER AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,46,BLACK,MALE,0,15f88ca88e
12V0042,2012-02-15,3900 MORTIMER AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,32,BLACK,MALE,0,6ab484b650
12V0043,2012-02-15,2100 WILHELM ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,26,BLACK,MALE,0,f11fe156ac
12V0043,2012-02-15,2100 WILHELM ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,467f3e9764
12V0044,2012-02-17,1800 N MILTON AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,30,BLACK,MALE,0,d90058b01e
12V0045,2012-02-18,1832 DRUID HILL AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,037ff7bd27
12V0045,2012-02-18,1832 DRUID HILL AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,47,BLACK,MALE,0,5ab394e220
12V0046,2012-02-21,5232 HARFORD RD,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,46,BLACK,MALE,0,e823795900
12V0046,2012-02-21,5232 HARFORD RD,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,46,WHITE,MALE,0,10f7aaf814
12V0047,2012-02-22,1800 N CAROLINE ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,47c20f53a5
12V0047,2012-02-22,1800 N CAROLINE ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,37,BLACK,MALE,0,b53067c126
12H0021,2012-02-23,2200 N FULTON AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,22,BLACK,MALE,1,6aa73d91d3
12H0021,2012-02-23,2200 N FULTON AV,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,46,BLACK,MALE,0,c7613a6474
12V0048,2012-02-23,600 N HIGHLAND AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,0,7063dd525b
12V0048,2012-02-23,600 N HIGHLAND AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,2768ded597
12V0050,2012-02-26,5400 CRISMER AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,1,,BLACK,MALE,0,069b35a535
12V0050,2012-02-26,5400 CRISMER AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,fd0985d6c2
12V0052,2012-02-26,4110 W GARRISON AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,0,2d045b805c
12V0052,2012-02-26,4110 W GARRISON AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,31,BLACK,MALE,0,8deff3ef73
12V0052,2012-02-26,4110 W GARRISON AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,41,BLACK,MALE,0,0184c26fc3
12V0051,2012-02-27,682 E 27TH ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,27,BLACK,MALE,0,5508a373c7
12V0051,2012-02-27,682 E 27TH ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,34064988b3
12V0051,2012-02-27,682 E 27TH ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,20,BLACK,MALE,0,c3fe7e838a
12V0053,2012-02-28,1800 W LEXINGTON ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,29,BLACK,MALE,0,6ff1e65b07
12V0053,2012-02-28,1800 W LEXINGTON ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,22,BLACK,MALE,0,8b3423f563
12H0024,2012-02-29,4500 WINDSOR MILL RD,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,24,BLACK,MALE,0,e2b6e236ef
12V0054,2012-03-02,1000 GREENMOUNT AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,0,33712f7c4f
12V0058,2012-03-03,100 S EAST AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,31,BLACK,MALE,0,1b969e25e1
12V0058,2012-03-03,100 S EAST AV,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,34,BLACK,MALE,0,d04fb6bedb
12V0058,2012-03-03,100 S EAST AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,0ea4148fb2
12H0025,2012-03-04,4500 MARBLE HALL RD,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,22,BLACK,MALE,0,8dcf0851a2
12H0025,2012-03-04,4500 MARBLE HALL RD,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,42,BLACK,MALE,0,ebf0e0cc65
12H0026,2012-03-04,1664 DARLEY AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,13,BLACK,MALE,0,15f5c81050
12H0026,2012-03-04,1664 DARLEY AV,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,12,BLACK,MALE,0,541eef10ed
12H0026,2012-03-04,1664 DARLEY AV,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,13,BLACK,FEMALE,0,21224194f5
12H0027,2012-03-04,400 OXFORD CT,OPEN,SUSPECT,,,HOMICIDE,Firearm,0,0,16,BLACK,MALE,0,7b20caf84c
12H0027,2012-03-04,400 OXFORD CT,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,21,BLACK,MALE,0,befd0ddffb
12V0056,2012-03-04,1000 N GAY ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,46,BLACK,MALE,0,d4641583f6
12V0057,2012-03-04,600 N POTOMAC ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,23,BLACK,MALE,0,025c946044
12V0057,2012-03-04,600 N POTOMAC ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,18,BLACK,FEMALE,0,948ea2d5f9
12V0057,2012-03-04,600 N POTOMAC ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,37,BLACK,MALE,0,c94b1c18ed
12H0028,2012-03-05,3510 W MULBERRY ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,17,BLACK,MALE,1,ca447f7cce
12H0028,2012-03-05,3510 W MULBERRY ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,17,BLACK,MALE,0,30bee6ff1b
12H0028,2012-03-05,3510 W MULBERRY ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,19,BLACK,MALE,0,5ab7972abc
12V0059,2012-03-06,2800 HILLDALE AV,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,30,BLACK,MALE,0,d5db8f6d12
12H0029,2012-03-07,2200 W NORTH AV,OPEN,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,21,BLACK,MALE,0,d8f9dbaa26
12V0060,2012-03-07,1755 CARSWELL ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,39,BLACK,MALE,0,33f44a2e5e
12V0060,2012-03-07,1755 CARSWELL ST,CLOSED,SUSPECT,,,NON FATAL SHOOTING,Firearm,0,0,39,BLACK,MALE,0,33f44a2e5e
12V0060,2012-03-07,1755 CARSWELL ST,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,54,WHITE,MALE,0,60986512a5
12H0030,2012-03-10,1000 E HOFFMAN ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,31,BLACK,MALE,0,2cc1e09958
12H0030,2012-03-10,1000 E HOFFMAN ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,38,BLACK,MALE,0,26fa5fc799
12V0061,2012-03-11,2300 ASHTON ST,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,35,BLACK,MALE,0,9d4eeb409d
12H0031,2012-03-13,900 N PORT ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,37,BLACK,MALE,0,28d3d3e08b
12H0031,2012-03-13,900 N PORT ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,47,BLACK,MALE,0,5c715f0c9c
12V0062,2012-03-13,2700 ULMAN AV,CLOSED,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,19,BLACK,MALE,0,1a15959d56
12V0063,2012-03-14,700 N WOODINGTON RD,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,25,BLACK,MALE,0,5aa51eadb4
12V0063,2012-03-14,700 N WOODINGTON RD,OPEN,VICTIM,NON FATAL SHOOTING,NON FATAL SHOOTING,NON FATAL SHOOTING,Firearm,0,0,21,BLACK,MALE,0,70e16fd6cb
12H0032,2012-03-16,2300 E CHASE ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,20,BLACK,MALE,0,28e9ebbafc
12H0032,2012-03-16,2300 E CHASE ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,28,BLACK,MALE,0,2e7f07b7f4
12H0032,2012-03-16,2300 E CHASE ST,CLOSED,SUSPECT,,,HOMICIDE,Firearm,0,0,47,BLACK,MALE,0,5532bf8724
12H0032,2012-03-16,2300 E CHASE ST,CLOSED,VICTIM,HOMICIDE SHOOTING,HOMICIDE,HOMICIDE,Firearm,0,0,54,BLACK,MALE,0,f0e24a0f98
